,MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
2528,21724333,690000.0,85750,-110.853122,32.322783,0.17,5797.0,2000,3,3,2396.0,2,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Warming Drawer",1,"Natural Stone, Wood",107
2529,21724258,680000.0,85750,-110.853166,32.32251,0.13,5844.0,2001,3,3,2771.0,2,Dishwasher,1,Ceramic Tile,107
2530,21707412,675000.0,85750,-110.821338,32.274562,0.8,7219.86,1999,4,4,3563.0,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator",1,"Carpet, Wood",5
2532,21729191,659500.0,85750,-110.83868,32.316319,0.64,8847.77,1993,3,3,2993.0,3,"Island, Pantry: Walk-In, Refrigerator, Countertops: granite",2,"Carpet, Ceramic Tile",142
2533,21727004,699000.0,85737,-110.947548,32.415428,0.65,5778.98,1995,4,3,3163.0,3,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Walk-In, Wet Bar, Appliance Color: Stainless, Countertops: Granite",1,Natural Stone,84
2534,21726438,656500.0,85750,-110.841474,32.297742,1.09,6055.36,2016,4,4,3219.0,2,"Gas Range, Refrigerator",1,"Ceramic Tile, Concrete",25
2535,21715516,688882.0,85750,-110.826002,32.276566,0.84,6890.56,1999,5,3,3965.0,3,"Dishwasher, Garbage Disposal, Gas Range, Appliance Color: Black, Countertops: Granite",2,"Carpet, Ceramic Tile",0
2537,21722891,681600.0,85718,-110.886725,32.329617,1.02,7608.34,1969,4,5,4614.0,2,"Desk, Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Wet Bar, Appliance Color: White, Countertops: Granite",1,"Carpet, Natural Stone",258
2538,21712665,679500.0,85730,-110.75387,32.170924,3.84,6792.83,2007,4,4,4008.0,8,"Dishwasher, Garbage Disposal, Refrigerator",1,Ceramic Tile,0
2539,21730543,560000.0,85718,-110.935611,32.335645,1.79,9017.81,2009,3,3,3565.0,3,"Dishwasher, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: GRANITE",4,"Concrete, Natural Stone",15
2540,21802189,675000.0,85718,-110.941776,32.319454,0.94,5465.78,1976,5,3,3051.0,2,"Dishwasher, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: GRANITE, Oven: GAS",3,"Carpet, Ceramic Tile, Concrete, Mexican Tile",15.41
2541,21706906,687000.0,85715,-110.848268,32.258989,0.33,7227.28,1979,4,3,3631.0,2,"Dishwasher, Garbage Disposal, Island, Prep Sink, Refrigerator, Appliance Color: Stainless",2,"Carpet, Mexican Tile",48
2542,21701799,690000.0,85118,-111.430863,33.366202,1.25,7716.66,2007,4,4,4361.0,4,"Dishwasher, Garbage Disposal",1,"Carpet, Ceramic Tile, Natural Stone",0
2543,21803672,680000.0,85718,-110.917178,32.312064,1.0,5750.54,1994,4,3,2665.0,3,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Microwave: -, Oven: -",1,Ceramic Tile,195
2544,21713869,680000.0,85750,-110.852209,32.314808,0.94,6008.0,1989,5,4,3442.0,2,"Dishwasher, Garbage Disposal, Refrigerator",4,"Carpet, Ceramic Tile",44
2545,21813416,695000.0,85755,-110.987099,32.429633,0.5,6974.81,2000,5,4,3420.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: built in, Oven: Stainless",1,"Carpet, Ceramic Tile",18
